CONTRIBUTOR,one
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",6
"NNP GZC Car '10WHITE', Person 'A'",8
"NNP GZC Car '11WHITE', Person 'A'",53
"NNP GZC Car '12WHITE', Person 'A'",23
"NNP GZC Car '13WHITE', Person 'A'",10
"NNP GZC Car '13WHITE', Person 'B'",36
"NNP GZC Car '14WHITE', Person 'A'",38
"NNP GZC Car '15WHITE', Person 'A'",9
"NNP GZC Car '15WHITE', Person 'B'",0
"NNP GZC Car '15WHITE', Person 'C'",0
"NNP GZC Car '15WHITE', Person 'D'",1
"NNP GZC Car '16WHITE', Person 'A'",3
"NNP GZC Car '17WHITE', Person 'A'",7
"NNP GZC Car '17WHITE', Person 'C'",3
"NNP GZC Car '1BLUE', Person 'A'",14
"NNP GZC Car '1BLUE', Person 'B'",27
"NNP GZC Car '1BLUE', Person 'C'",28
"NNP GZC Car '1BLUE', Person 'D'",10
"NNP GZC Car '1PURPLE', Person 'A'",60
"NNP GZC Car '1PURPLE', Person 'B'",97
"NNP GZC Car '1PURPLE', Person 'C'",2
"NNP GZC Car '1PURPLE', Person 'D'",113
"NNP GZC Car '1RED', Person 'A'",51
"NNP GZC Car '1RED', Person 'B'",102
"NNP GZC Car '1WHITE', Person 'A'",24
"NNP GZC Car '1WHITE', Person 'B'",40
"NNP GZC Car '1WHITE', Person 'C'",53
"NNP GZC Car '25PURPLE', Person 'A'",35
"NNP GZC Car '2RED', Person 'A'",47
"NNP GZC Car '2RED', Person 'B'",25
"NNP GZC Car '2RED', Person 'C'",40
"NNP GZC Car '2RED', Person 'D'",7
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",12
"NNP GZC Car '3PURPLE', Person 'A'",2
"NNP GZC Car '3PURPLE', Person 'B'",14
"NNP GZC Car '3RED', Person 'A'",59
"NNP GZC Car '3RED', Person 'B'",44
"NNP GZC Car '3WHITE', Person 'A'",36
"NNP GZC Car '4RED', Person 'A'",17
"NNP GZC Car '4RED', Person 'B'",0
"NNP GZC Car '4WHITE', Person 'A'",12
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '5RED', Person 'C'",5
"NNP GZC Car '5WHITE', Person 'A'",79
"NNP GZC Car '6RED', Person 'A'",52
"NNP GZC Car '6RED', Person 'B'",99
"NNP GZC Car '6WHITE', Person 'B'",63
"NNP GZC Car '7WHITE', Person 'A'",20
"NNP GZC Car '7WHITE', Person 'B'",18
"NNP GZC Car '8WHITE', Person 'A'",43
"NNP GZC Car '9WHITE', Person 'A'",1
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",374
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",98
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",106
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",54
