CONTRIBUTOR,TOTAL
"NNP GZC Car '1PURPLE', Person 'D'",319
"NNP GZC Car '15WHITE', Person 'C'",6
"NNP GZC Car '3RED', Person 'A'",73
"NNP GZC Car '10WHITE', Person 'A'",16
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",207
"NNP GZC Car '2RED', Person 'A'",116
"NNP GZC Car '3PURPLE', Person 'B'",35
"NNP GZC Car '1WHITE', Person 'A'",79
"NNP GZC Car '1BLUE', Person 'D'",13
"NNP GZC Car '17WHITE', Person 'C'",15
"NNP GZC Car '15WHITE', Person 'B'",8
"NNP GZC Car '1BLUE', Person 'B'",30
"NNP GZC Car '1PURPLE', Person 'B'",265
"NNP GZC Car '2RED', Person 'C'",89
"NNP GZC Car '5WHITE', Person 'A'",140
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",31
"NNP GZC Car '6WHITE', Person 'B'",130
"NNP GZC Car '3PURPLE', Person 'A'",10
"NNP GZC Car '4WHITE', Person 'A'",18
"NNP GZC Car '1RED', Person 'A'",103
"NNP GZC Car '14WHITE', Person 'A'",105
"NNP GZC Car '8WHITE', Person 'A'",103
"NNP GZC Car '4RED', Person 'A'",29
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '1RED', Person 'B'",201
"NNP GZC Car '15WHITE', Person 'A'",55
"NNP GZC Car '3RED', Person 'B'",59
"NNP GZC Car '1PURPLE', Person 'A'",184
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '9WHITE', Person 'A'",22
"NNP GZC Car '7WHITE', Person 'B'",43
"NNP GZC Car '6RED', Person 'A'",78
"NNP GZC Car '25PURPLE', Person 'A'",72
"NNP GZC Car '13WHITE', Person 'B'",62
"NNP GZC Car '5RED', Person 'C'",5
"NNP GZC Car '15WHITE', Person 'D'",27
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",107
"NNP GZC Car '1PURPLE', Person 'C'",20
"NNP GZC Car '1BLUE', Person 'C'",52
"NNP GZC Car '11WHITE', Person 'A'",123
"NNP GZC Car '13WHITE', Person 'A'",21
"NNP GZC Car '17WHITE', Person 'A'",11
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '12WHITE', Person 'A'",29
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",179
"NNP GZC Car '2RED', Person 'D'",41
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",957
"NNP GZC Car '3WHITE', Person 'A'",112
"NNP GZC Car '6RED', Person 'B'",151
"NNP GZC Car '2WHITE', Person 'A'",51
"NNP GZC Car '7WHITE', Person 'A'",49
"NNP GZC Car '1WHITE', Person 'B'",94
"NNP GZC Car '1BLUE', Person 'A'",19
"NNP GZC Car '1WHITE', Person 'C'",105
"NNP GZC Car '16WHITE', Person 'A'",5
"NNP GZC Car '2RED', Person 'B'",67
