CONTRIBUTOR,Average
"NNP GZC Car '1PURPLE', Person 'D'",2.7688172043010755
"NNP GZC Car '3RED', Person 'A'",1.0833333333333333
"NNP GZC Car '10WHITE', Person 'A'",2.0
"NNP GZC Car '6RED', Person 'A'",1.5833333333333333
"NNP GZC Car '2RED', Person 'A'",2.015873015873016
"NNP GZC Car '2RED', Person 'D'",2.375
"NNP GZC Car '1WHITE', Person 'B'",1.8833333333333333
"NNP GZC Car '1WHITE', Person 'A'",1.8103448275862069
"NNP GZC Car '1BLUE', Person 'D'",1.0
"NNP GZC Car '17WHITE', Person 'C'",1.875
"NNP GZC Car '15WHITE', Person 'B'",3.0
"NNP GZC Car '1RED', Person 'B'",1.9280575539568345
"NNP GZC Car '1PURPLE', Person 'B'",2.5294117647058822
"NNP GZC Car '2RED', Person 'C'",2.0344827586206895
"NNP GZC Car '5WHITE', Person 'A'",1.1353383458646618
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",2.7142857142857144
"NNP GZC Car '15WHITE', Person 'A'",3.227272727272727
"NNP GZC Car '3PURPLE', Person 'A'",1.1
"NNP GZC Car '4WHITE', Person 'A'",1.2105263157894737
"NNP GZC Car '1RED', Person 'A'",1.3218390804597702
"NNP GZC Car '6WHITE', Person 'B'",1.5692307692307692
"NNP GZC Car '14WHITE', Person 'A'",1.4473684210526316
"NNP GZC Car '1BLUE', Person 'B'",1.5
"NNP GZC Car '8WHITE', Person 'A'",1.7731958762886597
"NNP GZC Car '7WHITE', Person 'B'",1.2222222222222223
"NNP GZC Car '4RED', Person 'B'",1.3333333333333333
"NNP GZC Car '1PURPLE', Person 'C'",1.5
"NNP GZC Car '3RED', Person 'B'",1.4791666666666667
"NNP GZC Car '1PURPLE', Person 'A'",2.3552631578947367
"NNP GZC Car '2RED', Person 'E'",1.0
"NNP GZC Car '9WHITE', Person 'A'",1.5
"NNP GZC Car '4RED', Person 'A'",1.4545454545454546
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2.725925925925926
"NNP GZC Car '25PURPLE', Person 'A'",2.0634920634920637
"NNP GZC Car '13WHITE', Person 'B'",1.7105263157894737
"NNP GZC Car '5RED', Person 'C'",1.75
"NNP GZC Car '15WHITE', Person 'D'",2.3076923076923075
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1.8873239436619718
"NNP GZC Car '1BLUE', Person 'C'",1.3333333333333333
"NNP GZC Car '11WHITE', Person 'A'",2.6226415094339623
"NNP GZC Car '13WHITE', Person 'A'",1.6428571428571428
"NNP GZC Car '5RED', Person 'A'",1.0
"NNP GZC Car '12WHITE', Person 'A'",1.0333333333333334
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2.610294117647059
"NNP GZC Car '15WHITE', Person 'C'",1.5
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2.2964912280701753
"NNP GZC Car '3WHITE', Person 'A'",2.5925925925925926
"NNP GZC Car '6RED', Person 'B'",1.6435643564356435
"NNP GZC Car '2WHITE', Person 'A'",1.4772727272727273
"NNP GZC Car '7WHITE', Person 'A'",1.2564102564102564
"NNP GZC Car '3PURPLE', Person 'B'",1.3870967741935485
"NNP GZC Car '1WHITE', Person 'C'",1.4939759036144578
"NNP GZC Car '1BLUE', Person 'A'",1.1923076923076923
"NNP GZC Car '17WHITE', Person 'A'",2.0
"NNP GZC Car '16WHITE', Person 'A'",1.25
"NNP GZC Car '2RED', Person 'B'",2.3404255319148937
