CONTRIBUTOR,adult
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",18
"NNP GZC Car '10WHITE', Person 'A'",14
"NNP GZC Car '11WHITE', Person 'A'",97
"NNP GZC Car '12WHITE', Person 'A'",15
"NNP GZC Car '13WHITE', Person 'A'",16
"NNP GZC Car '13WHITE', Person 'B'",46
"NNP GZC Car '14WHITE', Person 'A'",65
"NNP GZC Car '15WHITE', Person 'A'",62
"NNP GZC Car '15WHITE', Person 'B'",9
"NNP GZC Car '15WHITE', Person 'C'",5
"NNP GZC Car '15WHITE', Person 'D'",24
"NNP GZC Car '16WHITE', Person 'A'",4
"NNP GZC Car '17WHITE', Person 'A'",6
"NNP GZC Car '17WHITE', Person 'C'",10
"NNP GZC Car '1BLUE', Person 'A'",24
"NNP GZC Car '1BLUE', Person 'B'",59
"NNP GZC Car '1BLUE', Person 'C'",57
"NNP GZC Car '1BLUE', Person 'D'",7
"NNP GZC Car '1PURPLE', Person 'A'",232
"NNP GZC Car '1PURPLE', Person 'B'",265
"NNP GZC Car '1PURPLE', Person 'C'",20
"NNP GZC Car '1PURPLE', Person 'D'",333
"NNP GZC Car '1RED', Person 'A'",81
"NNP GZC Car '1RED', Person 'B'",171
"NNP GZC Car '1WHITE', Person 'A'",75
"NNP GZC Car '1WHITE', Person 'B'",75
"NNP GZC Car '1WHITE', Person 'C'",68
"NNP GZC Car '25PURPLE', Person 'A'",69
"NNP GZC Car '2RED', Person 'A'",87
"NNP GZC Car '2RED', Person 'B'",75
"NNP GZC Car '2RED', Person 'C'",77
"NNP GZC Car '2RED', Person 'D'",43
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '2WHITE', Person 'A'",36
"NNP GZC Car '3PURPLE', Person 'A'",7
"NNP GZC Car '3PURPLE', Person 'B'",20
"NNP GZC Car '3RED', Person 'A'",44
"NNP GZC Car '3RED', Person 'B'",47
"NNP GZC Car '3WHITE', Person 'A'",96
"NNP GZC Car '4RED', Person 'A'",20
"NNP GZC Car '4RED', Person 'B'",2
"NNP GZC Car '4WHITE', Person 'A'",17
"NNP GZC Car '5RED', Person 'A'",1
"NNP GZC Car '5RED', Person 'C'",3
"NNP GZC Car '5WHITE', Person 'A'",86
"NNP GZC Car '6RED', Person 'A'",72
"NNP GZC Car '6RED', Person 'B'",103
"NNP GZC Car '6WHITE', Person 'B'",123
"NNP GZC Car '7WHITE', Person 'A'",31
"NNP GZC Car '7WHITE', Person 'B'",32
"NNP GZC Car '8WHITE', Person 'A'",113
"NNP GZC Car '9WHITE', Person 'A'",16
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",870
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",237
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",232
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",75
