CONTRIBUTOR,left
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",22
"NNP GZC Car '10WHITE', Person 'A'",13
"NNP GZC Car '11WHITE', Person 'A'",134
"NNP GZC Car '12WHITE', Person 'A'",27
"NNP GZC Car '13WHITE', Person 'A'",20
"NNP GZC Car '13WHITE', Person 'B'",58
"NNP GZC Car '14WHITE', Person 'A'",100
"NNP GZC Car '15WHITE', Person 'A'",23
"NNP GZC Car '15WHITE', Person 'B'",7
"NNP GZC Car '15WHITE', Person 'C'",4
"NNP GZC Car '15WHITE', Person 'D'",19
"NNP GZC Car '16WHITE', Person 'A'",4
"NNP GZC Car '17WHITE', Person 'A'",11
"NNP GZC Car '17WHITE', Person 'C'",12
"NNP GZC Car '1BLUE', Person 'A'",23
"NNP GZC Car '1BLUE', Person 'B'",53
"NNP GZC Car '1BLUE', Person 'C'",63
"NNP GZC Car '1BLUE', Person 'D'",13
"NNP GZC Car '1PURPLE', Person 'A'",310
"NNP GZC Car '1PURPLE', Person 'B'",375
"NNP GZC Car '1PURPLE', Person 'C'",20
"NNP GZC Car '1PURPLE', Person 'D'",451
"NNP GZC Car '1RED', Person 'A'",110
"NNP GZC Car '1RED', Person 'B'",251
"NNP GZC Car '1WHITE', Person 'A'",61
"NNP GZC Car '1WHITE', Person 'B'",84
"NNP GZC Car '1WHITE', Person 'C'",73
"NNP GZC Car '25PURPLE', Person 'A'",46
"NNP GZC Car '2RED', Person 'A'",123
"NNP GZC Car '2RED', Person 'B'",100
"NNP GZC Car '2RED', Person 'C'",109
"NNP GZC Car '2RED', Person 'D'",50
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '2WHITE', Person 'A'",46
"NNP GZC Car '3PURPLE', Person 'A'",5
"NNP GZC Car '3PURPLE', Person 'B'",21
"NNP GZC Car '3RED', Person 'A'",76
"NNP GZC Car '3RED', Person 'B'",69
"NNP GZC Car '3WHITE', Person 'A'",95
"NNP GZC Car '4RED', Person 'A'",30
"NNP GZC Car '4RED', Person 'B'",3
"NNP GZC Car '4WHITE', Person 'A'",15
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '5RED', Person 'C'",4
"NNP GZC Car '5WHITE', Person 'A'",128
"NNP GZC Car '6RED', Person 'A'",88
"NNP GZC Car '6RED', Person 'B'",151
"NNP GZC Car '6WHITE', Person 'B'",116
"NNP GZC Car '7WHITE', Person 'A'",43
"NNP GZC Car '7WHITE', Person 'B'",38
"NNP GZC Car '8WHITE', Person 'A'",127
"NNP GZC Car '9WHITE', Person 'A'",6
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1009
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",270
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",249
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",115
