CONTRIBUTOR,zero
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",32
"NNP GZC Car '10WHITE', Person 'A'",8
"NNP GZC Car '11WHITE', Person 'A'",86
"NNP GZC Car '12WHITE', Person 'A'",8
"NNP GZC Car '13WHITE', Person 'A'",13
"NNP GZC Car '13WHITE', Person 'B'",29
"NNP GZC Car '14WHITE', Person 'A'",72
"NNP GZC Car '15WHITE', Person 'A'",62
"NNP GZC Car '15WHITE', Person 'B'",9
"NNP GZC Car '15WHITE', Person 'C'",6
"NNP GZC Car '15WHITE', Person 'D'",29
"NNP GZC Car '16WHITE', Person 'A'",2
"NNP GZC Car '17WHITE', Person 'A'",5
"NNP GZC Car '17WHITE', Person 'C'",12
"NNP GZC Car '1BLUE', Person 'A'",17
"NNP GZC Car '1BLUE', Person 'B'",51
"NNP GZC Car '1BLUE', Person 'C'",56
"NNP GZC Car '1BLUE', Person 'D'",4
"NNP GZC Car '1PURPLE', Person 'A'",298
"NNP GZC Car '1PURPLE', Person 'B'",333
"NNP GZC Car '1PURPLE', Person 'C'",25
"NNP GZC Car '1PURPLE', Person 'D'",402
"NNP GZC Car '1RED', Person 'A'",64
"NNP GZC Car '1RED', Person 'B'",166
"NNP GZC Car '1WHITE', Person 'A'",81
"NNP GZC Car '1WHITE', Person 'B'",73
"NNP GZC Car '1WHITE', Person 'C'",71
"NNP GZC Car '25PURPLE', Person 'A'",95
"NNP GZC Car '2RED', Person 'A'",80
"NNP GZC Car '2RED', Person 'B'",85
"NNP GZC Car '2RED', Person 'C'",78
"NNP GZC Car '2RED', Person 'D'",50
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '2WHITE', Person 'A'",53
"NNP GZC Car '3PURPLE', Person 'A'",9
"NNP GZC Car '3PURPLE', Person 'B'",29
"NNP GZC Car '3RED', Person 'A'",19
"NNP GZC Car '3RED', Person 'B'",27
"NNP GZC Car '3WHITE', Person 'A'",104
"NNP GZC Car '4RED', Person 'A'",15
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '4WHITE', Person 'A'",11
"NNP GZC Car '5RED', Person 'A'",0
"NNP GZC Car '5RED', Person 'C'",2
"NNP GZC Car '5WHITE', Person 'A'",72
"NNP GZC Car '6RED', Person 'A'",43
"NNP GZC Car '6RED', Person 'B'",67
"NNP GZC Car '6WHITE', Person 'B'",141
"NNP GZC Car '7WHITE', Person 'A'",29
"NNP GZC Car '7WHITE', Person 'B'",26
"NNP GZC Car '8WHITE', Person 'A'",129
"NNP GZC Car '9WHITE', Person 'A'",26
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",935
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",270
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",249
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",80
