CONTRIBUTOR,excellent,good,ok,poor,junk
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",3,4,25,6,0
"NNP GZC Car '10WHITE', Person 'A'",5,6,5,0,0
"NNP GZC Car '11WHITE', Person 'A'",10,40,81,8,0
"NNP GZC Car '12WHITE', Person 'A'",3,19,9,0,0
"NNP GZC Car '13WHITE', Person 'A'",0,7,16,0,0
"NNP GZC Car '13WHITE', Person 'B'",2,28,35,0,0
"NNP GZC Car '14WHITE', Person 'A'",24,32,45,7,2
"NNP GZC Car '15WHITE', Person 'A'",6,17,43,5,0
"NNP GZC Car '15WHITE', Person 'B'",0,3,6,0,0
"NNP GZC Car '15WHITE', Person 'C'",0,0,6,0,0
"NNP GZC Car '15WHITE', Person 'D'",0,10,13,6,1
"NNP GZC Car '16WHITE', Person 'A'",0,1,4,0,0
"NNP GZC Car '17WHITE', Person 'A'",0,1,11,0,0
"NNP GZC Car '17WHITE', Person 'C'",0,4,11,0,0
"NNP GZC Car '1BLUE', Person 'A'",7,10,12,2,0
"NNP GZC Car '1BLUE', Person 'B'",10,25,38,5,0
"NNP GZC Car '1BLUE', Person 'C'",3,25,51,5,0
"NNP GZC Car '1BLUE', Person 'D'",6,6,2,0,0
"NNP GZC Car '1PURPLE', Person 'A'",35,113,136,70,4
"NNP GZC Car '1PURPLE', Person 'B'",45,137,187,58,3
"NNP GZC Car '1PURPLE', Person 'C'",1,2,15,7,2
"NNP GZC Car '1PURPLE', Person 'D'",65,198,182,68,2
"NNP GZC Car '1RED', Person 'A'",9,25,81,0,0
"NNP GZC Car '1RED', Person 'B'",22,61,184,1,0
"NNP GZC Car '1WHITE', Person 'A'",3,28,45,26,3
"NNP GZC Car '1WHITE', Person 'B'",0,28,44,32,9
"NNP GZC Car '1WHITE', Person 'C'",5,61,43,14,1
"NNP GZC Car '25PURPLE', Person 'A'",11,39,29,42,9
"NNP GZC Car '2RED', Person 'A'",17,49,61,0,0
"NNP GZC Car '2RED', Person 'B'",8,31,71,0,0
"NNP GZC Car '2RED', Person 'C'",5,33,80,0,0
"NNP GZC Car '2RED', Person 'D'",3,22,32,0,0
"NNP GZC Car '2RED', Person 'E'",0,0,1,0,0
"NNP GZC Car '2WHITE', Person 'A'",0,10,22,27,6
"NNP GZC Car '3PURPLE', Person 'A'",1,4,6,0,0
"NNP GZC Car '3PURPLE', Person 'B'",5,12,19,5,2
"NNP GZC Car '3RED', Person 'A'",10,33,35,0,0
"NNP GZC Car '3RED', Person 'B'",8,27,36,0,0
"NNP GZC Car '3WHITE', Person 'A'",23,36,79,2,0
"NNP GZC Car '4RED', Person 'A'",0,5,27,0,0
"NNP GZC Car '4RED', Person 'B'",0,0,3,1,0
"NNP GZC Car '4WHITE', Person 'A'",7,7,5,4,0
"NNP GZC Car '5RED', Person 'A'",0,1,1,0,0
"NNP GZC Car '5RED', Person 'C'",0,5,2,0,0
"NNP GZC Car '5WHITE', Person 'A'",16,42,62,24,7
"NNP GZC Car '6RED', Person 'A'",5,19,70,1,0
"NNP GZC Car '6RED', Person 'B'",8,34,124,0,0
"NNP GZC Car '6WHITE', Person 'B'",13,60,94,33,4
"NNP GZC Car '7WHITE', Person 'A'",4,13,32,0,0
"NNP GZC Car '7WHITE', Person 'B'",0,13,31,0,0
"NNP GZC Car '8WHITE', Person 'A'",13,60,91,7,1
"NNP GZC Car '9WHITE', Person 'A'",3,7,7,8,2
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",26,240,594,427,22
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4,70,157,119,18
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",22,94,171,60,8
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1,25,64,40,4
