CONTRIBUTOR,giraffe_masai,zebra_plains
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",38,0
"NNP GZC Car '10WHITE', Person 'A'",3,13
"NNP GZC Car '11WHITE', Person 'A'",20,119
"NNP GZC Car '12WHITE', Person 'A'",3,28
"NNP GZC Car '13WHITE', Person 'A'",10,13
"NNP GZC Car '13WHITE', Person 'B'",14,51
"NNP GZC Car '14WHITE', Person 'A'",0,110
"NNP GZC Car '15WHITE', Person 'A'",18,53
"NNP GZC Car '15WHITE', Person 'B'",7,2
"NNP GZC Car '15WHITE', Person 'C'",2,4
"NNP GZC Car '15WHITE', Person 'D'",12,18
"NNP GZC Car '16WHITE', Person 'A'",5,0
"NNP GZC Car '17WHITE', Person 'A'",0,12
"NNP GZC Car '17WHITE', Person 'C'",1,14
"NNP GZC Car '1BLUE', Person 'A'",6,25
"NNP GZC Car '1BLUE', Person 'B'",10,68
"NNP GZC Car '1BLUE', Person 'C'",10,74
"NNP GZC Car '1BLUE', Person 'D'",0,14
"NNP GZC Car '1PURPLE', Person 'A'",4,354
"NNP GZC Car '1PURPLE', Person 'B'",4,426
"NNP GZC Car '1PURPLE', Person 'C'",5,22
"NNP GZC Car '1PURPLE', Person 'D'",22,493
"NNP GZC Car '1RED', Person 'A'",3,112
"NNP GZC Car '1RED', Person 'B'",20,248
"NNP GZC Car '1WHITE', Person 'A'",47,58
"NNP GZC Car '1WHITE', Person 'B'",17,96
"NNP GZC Car '1WHITE', Person 'C'",23,101
"NNP GZC Car '25PURPLE', Person 'A'",0,130
"NNP GZC Car '2RED', Person 'A'",12,115
"NNP GZC Car '2RED', Person 'B'",3,107
"NNP GZC Car '2RED', Person 'C'",7,111
"NNP GZC Car '2RED', Person 'D'",11,46
"NNP GZC Car '2RED', Person 'E'",0,1
"NNP GZC Car '2WHITE', Person 'A'",0,65
"NNP GZC Car '3PURPLE', Person 'A'",2,9
"NNP GZC Car '3PURPLE', Person 'B'",7,36
"NNP GZC Car '3RED', Person 'A'",6,72
"NNP GZC Car '3RED', Person 'B'",6,65
"NNP GZC Car '3WHITE', Person 'A'",42,98
"NNP GZC Car '4RED', Person 'A'",1,31
"NNP GZC Car '4RED', Person 'B'",0,4
"NNP GZC Car '4WHITE', Person 'A'",3,20
"NNP GZC Car '5RED', Person 'A'",0,2
"NNP GZC Car '5RED', Person 'C'",0,7
"NNP GZC Car '5WHITE', Person 'A'",14,137
"NNP GZC Car '6RED', Person 'A'",1,94
"NNP GZC Car '6RED', Person 'B'",7,159
"NNP GZC Car '6WHITE', Person 'B'",27,177
"NNP GZC Car '7WHITE', Person 'A'",3,46
"NNP GZC Car '7WHITE', Person 'B'",7,37
"NNP GZC Car '8WHITE', Person 'A'",28,144
"NNP GZC Car '9WHITE', Person 'A'",0,27
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",145,1164
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",3,365
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",0,355
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",0,134
