NID,CONTRIBUTOR,TOTAL
1128,"NNP GZC Car '2WHITE', Person 'A'",1
1950,"NNP GZC Car '1RED', Person 'B'",1
2016,"NNP GZC Car '6RED', Person 'A'",1
1089,"NNP GZC Car '25PURPLE', Person 'A'",1
51,"NNP GZC Car '1WHITE', Person 'C'",1
1480,"NNP GZC Car '14WHITE', Person 'A'",2
1432,"NNP GZC Car '5WHITE', Person 'A'",1
1840,"NNP GZC Car '1BLUE', Person 'B'",1
2160,"NNP GZC Car '3RED', Person 'A'",1
717,"NNP GZC Car '1PURPLE', Person 'A'",2
1563,"NNP GZC Car '1RED', Person 'B'",1
290,"NNP GZC Car '13WHITE', Person 'B'",1
157,"NNP GZC Car '1PURPLE', Person 'A'",3
1674,"NNP GZC Car '1BLUE', Person 'C'",1
1084,"NNP GZC Car '25PURPLE', Person 'A'",1
1152,"NNP GZC Car '1WHITE', Person 'C'",2
1561,"NNP GZC Car '1PURPLE', Person 'A'",3
135,"NNP GZC Car '1BLUE', Person 'B'",1
1962,"NNP GZC Car '1RED', Person 'A'",2
1445,"NNP GZC Car '4WHITE', Person 'A'",1
795,"NNP GZC Car '2RED', Person 'D'",2
1630,"NNP GZC Car '5WHITE', Person 'A'",1
1495,"NNP GZC Car '14WHITE', Person 'A'",1
498,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
1219,"NNP GZC Car '1WHITE', Person 'B'",1
336,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
718,"NNP GZC Car '2RED', Person 'C'",1
626,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
578,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
953,"NNP GZC Car '12WHITE', Person 'A'",1
298,"NNP GZC Car '3RED', Person 'B'",2
606,"NNP GZC Car '1BLUE', Person 'C'",1
1566,"NNP GZC Car '1PURPLE', Person 'D'",7
1405,"NNP GZC Car '5WHITE', Person 'A'",1
1834,"NNP GZC Car '3RED', Person 'A'",1
689,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
440,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
1982,"NNP GZC Car '7WHITE', Person 'B'",1
1935,"NNP GZC Car '4RED', Person 'A'",1
1524,"NNP GZC Car '1PURPLE', Person 'B'",1
1916,"NNP GZC Car '14WHITE', Person 'A'",1
565,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
83,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1489,"NNP GZC Car '1PURPLE', Person 'D'",7
948,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
876,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
132,"NNP GZC Car '6WHITE', Person 'B'",1
23,"NNP GZC Car '3WHITE', Person 'A'",8
1498,"NNP GZC Car '1PURPLE', Person 'A'",1
1219,"NNP GZC Car '6WHITE', Person 'B'",1
114,"NNP GZC Car '1WHITE', Person 'C'",1
1673,"NNP GZC Car '1BLUE', Person 'C'",3
360,"NNP GZC Car '1PURPLE', Person 'D'",1
