CONTRIBUTOR,juveniles2yearold,juveniles1yearold,infant,adult,unknown,Sum
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",4,10,4,18,2,38
"NNP GZC Car '10WHITE', Person 'A'",0,1,1,14,0,16
"NNP GZC Car '11WHITE', Person 'A'",7,5,30,97,0,139
"NNP GZC Car '12WHITE', Person 'A'",6,2,8,15,0,31
"NNP GZC Car '13WHITE', Person 'A'",4,0,3,16,0,23
"NNP GZC Car '13WHITE', Person 'B'",7,0,12,46,0,65
"NNP GZC Car '14WHITE', Person 'A'",7,7,31,65,0,110
"NNP GZC Car '15WHITE', Person 'A'",0,2,7,62,0,71
"NNP GZC Car '15WHITE', Person 'B'",0,0,0,9,0,9
"NNP GZC Car '15WHITE', Person 'C'",0,0,1,5,0,6
"NNP GZC Car '15WHITE', Person 'D'",0,3,3,24,0,30
"NNP GZC Car '16WHITE', Person 'A'",0,0,0,4,1,5
"NNP GZC Car '17WHITE', Person 'A'",0,2,4,6,0,12
"NNP GZC Car '17WHITE', Person 'C'",0,4,1,10,0,15
"NNP GZC Car '1BLUE', Person 'A'",0,2,5,24,0,31
"NNP GZC Car '1BLUE', Person 'B'",2,6,11,59,0,78
"NNP GZC Car '1BLUE', Person 'C'",6,5,16,57,0,84
"NNP GZC Car '1BLUE', Person 'D'",0,1,6,7,0,14
"NNP GZC Car '1PURPLE', Person 'A'",54,17,55,232,0,358
"NNP GZC Car '1PURPLE', Person 'B'",67,34,64,265,0,430
"NNP GZC Car '1PURPLE', Person 'C'",3,0,4,20,0,27
"NNP GZC Car '1PURPLE', Person 'D'",82,34,66,333,0,515
"NNP GZC Car '1RED', Person 'A'",11,4,19,81,0,115
"NNP GZC Car '1RED', Person 'B'",24,18,55,171,0,268
"NNP GZC Car '1WHITE', Person 'A'",8,1,21,75,0,105
"NNP GZC Car '1WHITE', Person 'B'",10,3,25,75,0,113
"NNP GZC Car '1WHITE', Person 'C'",16,3,32,68,5,124
"NNP GZC Car '25PURPLE', Person 'A'",24,2,34,69,1,130
"NNP GZC Car '2RED', Person 'A'",10,15,15,87,0,127
"NNP GZC Car '2RED', Person 'B'",11,11,13,75,0,110
"NNP GZC Car '2RED', Person 'C'",15,12,14,77,0,118
"NNP GZC Car '2RED', Person 'D'",4,8,2,43,0,57
"NNP GZC Car '2RED', Person 'E'",0,0,0,1,0,1
"NNP GZC Car '2WHITE', Person 'A'",7,6,16,36,0,65
"NNP GZC Car '3PURPLE', Person 'A'",0,2,2,7,0,11
"NNP GZC Car '3PURPLE', Person 'B'",0,11,12,20,0,43
"NNP GZC Car '3RED', Person 'A'",4,5,24,44,1,78
"NNP GZC Car '3RED', Person 'B'",7,4,12,47,1,71
"NNP GZC Car '3WHITE', Person 'A'",15,0,27,96,2,140
"NNP GZC Car '4RED', Person 'A'",1,2,9,20,0,32
"NNP GZC Car '4RED', Person 'B'",1,1,0,2,0,4
"NNP GZC Car '4WHITE', Person 'A'",0,0,6,17,0,23
"NNP GZC Car '5RED', Person 'A'",0,0,1,1,0,2
"NNP GZC Car '5RED', Person 'C'",0,0,4,3,0,7
"NNP GZC Car '5WHITE', Person 'A'",13,4,45,86,3,151
"NNP GZC Car '6RED', Person 'A'",8,0,15,72,0,95
"NNP GZC Car '6RED', Person 'B'",23,2,38,103,0,166
"NNP GZC Car '6WHITE', Person 'B'",16,7,58,123,0,204
"NNP GZC Car '7WHITE', Person 'A'",5,0,13,31,0,49
"NNP GZC Car '7WHITE', Person 'B'",2,0,10,32,0,44
"NNP GZC Car '8WHITE', Person 'A'",14,12,33,113,0,172
"NNP GZC Car '9WHITE', Person 'A'",0,1,10,16,0,27
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",113,69,251,870,6,1309
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",16,14,101,237,0,368
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",16,38,68,232,1,355
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",13,3,43,75,0,134
