NID,Count
273,11
74,7
158,7
23,6
100,6
166,5
132,5
157,5
49,5
146,5
112,4
90,4
124,4
9,4
210,3
56,3
53,3
172,3
148,3
68,3
105,3
13,3
127,3
131,3
128,3
63,3
156,3
135,3
51,3
60,3
117,3
234,3
138,2
98,2
104,2
27,2
167,2
30,2
253,2
114,2
97,2
246,2
19,2
29,2
4,2
247,2
189,2
225,2
8,2
42,2
238,2
95,1
78,1
39,1
118,1
153,1
96,1
92,1
109,1
205,1
183,1
73,1
22,1
133,1
69,1
136,1
2,1
161,1
208,1
182,1
121,1
192,1
101,1
38,1
15,1
199,1
82,1
72,1
33,1
52,1
5,1
241,1
206,1
110,1
55,1
71,1
123,1
7,1
119,1
24,1
84,1
237,1
168,1
212,1
191,1
108,1
77,1
198,1
28,1
3,1
181,1
31,1
17,1
46,1
45,1
58,1
209,1
76,1
164,1
113,1
14,1
32,1
99,1
86,1
43,1
47,1
25,1
18,1
151,1
197,1
115,1
83,1
70,1
16,1
11,1
259,1
89,1
102,1
57,1
165,1
169,1
79,1
91,1
200,1
207,1
103,1
48,1
87,1
81,1
107,1
193,1
184,1
64,1
202,1
1,1
20,1
204,1
80,1
196,1
144,1
54,1
