NID,Count_x,Count_y
273,54,11
158,22,7
234,21,3
74,18,7
56,15,3
23,15,6
105,13,3
124,12,4
157,11,5
100,10,6
60,10,3
146,10,5
166,9,5
135,9,3
172,9,3
112,9,4
49,9,5
132,8,5
27,8,2
42,8,2
156,8,3
63,8,3
72,7,1
30,7,2
184,7,1
161,7,1
241,6,1
189,6,2
29,6,2
9,6,4
13,6,3
46,6,1
8,6,2
92,5,1
53,5,3
90,5,4
22,5,1
4,5,2
131,5,3
47,5,1
138,5,2
79,5,1
19,5,2
148,5,3
210,5,3
38,5,1
55,5,1
73,4,1
17,4,1
68,4,3
14,4,1
51,4,3
48,4,1
31,4,1
128,4,3
78,4,1
28,4,1
127,4,3
18,4,1
167,4,2
54,4,1
83,3,1
80,3,1
86,3,1
238,3,2
1,3,1
24,3,1
117,3,3
20,3,1
98,3,2
45,2,1
2,2,1
97,2,2
81,2,1
87,2,1
7,2,1
11,2,1
25,2,1
16,2,1
33,2,1
253,2,2
144,2,1
39,2,1
70,2,1
212,2,1
57,2,1
246,2,2
82,2,1
101,2,1
32,2,1
69,2,1
225,2,2
104,2,2
43,2,1
77,2,1
71,2,1
84,2,1
91,2,1
200,2,1
58,2,1
3,2,1
247,2,2
191,2,1
5,2,1
15,2,1
64,2,1
115,2,1
114,2,2
52,2,1
89,1,1
168,1,1
99,1,1
237,1,1
76,1,1
118,1,1
102,1,1
113,1,1
103,1,1
151,1,1
165,1,1
197,1,1
198,1,1
181,1,1
208,1,1
133,1,1
205,1,1
169,1,1
164,1,1
206,1,1
209,1,1
199,1,1
207,1,1
119,1,1
95,1,1
108,1,1
202,1,1
259,1,1
123,1,1
136,1,1
96,1,1
183,1,1
204,1,1
107,1,1
182,1,1
121,1,1
196,1,1
109,1,1
193,1,1
153,1,1
192,1,1
110,1,1
