AID,GID,NID,CONTRIBUTOR
9686,1451,100,"NNP GZC Car '1BLUE', Person 'C'"
9795,7721,184,"NNP GZC Car '8WHITE', Person 'A'"
9430,1017,273,"NNP GZC Car '15WHITE', Person 'D'"
9576,5239,124,"NNP GZC Car '3RED', Person 'B'"
8921,9222,25,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8969,9332,7,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9262,1185,112,"NNP GZC Car '17WHITE', Person 'C'"
9511,2107,161,"NNP GZC Car '1PURPLE', Person 'D'"
8837,3343,105,"NNP GZC Car '1WHITE', Person 'C'"
9646,6961,23,"NNP GZC Car '6WHITE', Person 'B'"
9040,8355,28,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9781,7703,193,"NNP GZC Car '8WHITE', Person 'A'"
8834,3296,103,"NNP GZC Car '1WHITE', Person 'B'"
9851,5291,158,"NNP GZC Car '3WHITE', Person 'A'"
9135,3315,77,"NNP GZC Car '1WHITE', Person 'C'"
8805,9345,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9377,445,74,"NNP GZC Car '13WHITE', Person 'A'"
10039,4437,273,"NNP GZC Car '2RED', Person 'C'"
9629,6970,104,"NNP GZC Car '6WHITE', Person 'B'"
9292,6117,138,"NNP GZC Car '5WHITE', Person 'A'"
9111,8362,73,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9999,3637,273,"NNP GZC Car '2RED', Person 'A'"
10003,3634,273,"NNP GZC Car '2RED', Person 'A'"
9203,226,74,"NNP GZC Car '11WHITE', Person 'A'"
9305,7280,135,"NNP GZC Car '7WHITE', Person 'B'"
8985,9325,24,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8993,3304,74,"NNP GZC Car '1WHITE', Person 'B'"
9438,962,273,"NNP GZC Car '15WHITE', Person 'C'"
9080,9349,72,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8911,9394,102,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9147,8345,63,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9182,150,112,"NNP GZC Car '11WHITE', Person 'A'"
