CONTRIBUTOR,juveniles- two year old,juveniles - one year old,infant,adult,unknown
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",4,10,4,18,2
"NNP GZC Car '10WHITE', Person 'A'",0,0,0,3,0
"NNP GZC Car '11WHITE', Person 'A'",4,0,0,16,0
"NNP GZC Car '12WHITE', Person 'A'",1,0,0,2,0
"NNP GZC Car '13WHITE', Person 'A'",0,0,0,10,0
"NNP GZC Car '13WHITE', Person 'B'",0,0,0,14,0
"NNP GZC Car '15WHITE', Person 'A'",0,2,1,15,0
"NNP GZC Car '15WHITE', Person 'B'",0,0,0,7,0
"NNP GZC Car '15WHITE', Person 'C'",0,0,0,2,0
"NNP GZC Car '15WHITE', Person 'D'",0,1,0,11,0
"NNP GZC Car '16WHITE', Person 'A'",0,0,0,4,1
"NNP GZC Car '17WHITE', Person 'C'",0,0,0,1,0
"NNP GZC Car '1BLUE', Person 'A'",0,0,0,6,0
"NNP GZC Car '1BLUE', Person 'B'",0,0,1,9,0
"NNP GZC Car '1BLUE', Person 'C'",1,0,0,9,0
"NNP GZC Car '1PURPLE', Person 'A'",0,0,0,4,0
"NNP GZC Car '1PURPLE', Person 'B'",0,0,0,4,0
"NNP GZC Car '1PURPLE', Person 'C'",0,0,1,4,0
"NNP GZC Car '1PURPLE', Person 'D'",1,0,0,21,0
"NNP GZC Car '1RED', Person 'A'",1,0,1,1,0
"NNP GZC Car '1RED', Person 'B'",1,2,3,14,0
"NNP GZC Car '1WHITE', Person 'A'",7,0,0,40,0
"NNP GZC Car '1WHITE', Person 'B'",6,0,0,11,0
"NNP GZC Car '1WHITE', Person 'C'",7,1,2,8,5
"NNP GZC Car '2RED', Person 'A'",0,0,0,12,0
"NNP GZC Car '2RED', Person 'B'",0,0,0,3,0
"NNP GZC Car '2RED', Person 'C'",0,0,0,7,0
"NNP GZC Car '2RED', Person 'D'",0,0,0,11,0
"NNP GZC Car '3PURPLE', Person 'A'",0,2,0,0,0
"NNP GZC Car '3PURPLE', Person 'B'",0,6,0,1,0
"NNP GZC Car '3RED', Person 'A'",0,1,2,3,0
"NNP GZC Car '3RED', Person 'B'",1,1,1,3,0
"NNP GZC Car '3WHITE', Person 'A'",3,0,0,37,2
"NNP GZC Car '4RED', Person 'A'",0,1,0,0,0
"NNP GZC Car '4WHITE', Person 'A'",0,0,0,3,0
"NNP GZC Car '5WHITE', Person 'A'",0,1,1,11,1
"NNP GZC Car '6RED', Person 'A'",0,0,0,1,0
"NNP GZC Car '6RED', Person 'B'",0,0,0,7,0
"NNP GZC Car '6WHITE', Person 'B'",3,0,0,24,0
"NNP GZC Car '7WHITE', Person 'A'",0,0,0,3,0
"NNP GZC Car '7WHITE', Person 'B'",0,0,0,7,0
"NNP GZC Car '8WHITE', Person 'A'",0,2,3,23,0
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",22,10,9,99,5
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2,0,0,1,0
