CONTRIBUTOR,Male,Female,UNKNOWN SEX,Sum
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",21,13,4,38
"NNP GZC Car '10WHITE', Person 'A'",0,3,0,3
"NNP GZC Car '11WHITE', Person 'A'",0,20,0,20
"NNP GZC Car '12WHITE', Person 'A'",1,2,0,3
"NNP GZC Car '13WHITE', Person 'A'",5,5,0,10
"NNP GZC Car '13WHITE', Person 'B'",8,6,0,14
"NNP GZC Car '15WHITE', Person 'A'",8,9,1,18
"NNP GZC Car '15WHITE', Person 'B'",0,7,0,7
"NNP GZC Car '15WHITE', Person 'C'",2,0,0,2
"NNP GZC Car '15WHITE', Person 'D'",7,5,0,12
"NNP GZC Car '16WHITE', Person 'A'",4,0,1,5
"NNP GZC Car '17WHITE', Person 'C'",0,1,0,1
"NNP GZC Car '1BLUE', Person 'A'",2,4,0,6
"NNP GZC Car '1BLUE', Person 'B'",4,5,1,10
"NNP GZC Car '1BLUE', Person 'C'",6,4,0,10
"NNP GZC Car '1PURPLE', Person 'A'",4,0,0,4
"NNP GZC Car '1PURPLE', Person 'B'",3,1,0,4
"NNP GZC Car '1PURPLE', Person 'C'",3,1,1,5
"NNP GZC Car '1PURPLE', Person 'D'",9,13,0,22
"NNP GZC Car '1RED', Person 'A'",1,2,0,3
"NNP GZC Car '1RED', Person 'B'",4,15,1,20
"NNP GZC Car '1WHITE', Person 'A'",15,31,1,47
"NNP GZC Car '1WHITE', Person 'B'",3,13,1,17
"NNP GZC Car '1WHITE', Person 'C'",8,8,7,23
"NNP GZC Car '2RED', Person 'A'",12,0,0,12
"NNP GZC Car '2RED', Person 'B'",3,0,0,3
"NNP GZC Car '2RED', Person 'C'",7,0,0,7
"NNP GZC Car '2RED', Person 'D'",11,0,0,11
"NNP GZC Car '3PURPLE', Person 'A'",2,0,0,2
"NNP GZC Car '3PURPLE', Person 'B'",7,0,0,7
"NNP GZC Car '3RED', Person 'A'",3,2,1,6
"NNP GZC Car '3RED', Person 'B'",2,4,0,6
"NNP GZC Car '3WHITE', Person 'A'",25,15,2,42
"NNP GZC Car '4RED', Person 'A'",1,0,0,1
"NNP GZC Car '4WHITE', Person 'A'",0,3,0,3
"NNP GZC Car '5WHITE', Person 'A'",6,6,2,14
"NNP GZC Car '6RED', Person 'A'",0,1,0,1
"NNP GZC Car '6RED', Person 'B'",6,1,0,7
"NNP GZC Car '6WHITE', Person 'B'",9,17,1,27
"NNP GZC Car '7WHITE', Person 'A'",0,3,0,3
"NNP GZC Car '7WHITE', Person 'B'",2,5,0,7
"NNP GZC Car '8WHITE', Person 'A'",16,9,3,28
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",77,51,17,145
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,3,0,3
