CONTRIBUTOR,zero,one,Sum
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",32,6,38
"NNP GZC Car '10WHITE', Person 'A'",3,0,3
"NNP GZC Car '11WHITE', Person 'A'",16,4,20
"NNP GZC Car '12WHITE', Person 'A'",3,0,3
"NNP GZC Car '13WHITE', Person 'A'",4,6,10
"NNP GZC Car '13WHITE', Person 'B'",11,3,14
"NNP GZC Car '15WHITE', Person 'A'",14,4,18
"NNP GZC Car '15WHITE', Person 'B'",7,0,7
"NNP GZC Car '15WHITE', Person 'C'",2,0,2
"NNP GZC Car '15WHITE', Person 'D'",11,1,12
"NNP GZC Car '16WHITE', Person 'A'",2,3,5
"NNP GZC Car '17WHITE', Person 'C'",1,0,1
"NNP GZC Car '1BLUE', Person 'A'",5,1,6
"NNP GZC Car '1BLUE', Person 'B'",7,3,10
"NNP GZC Car '1BLUE', Person 'C'",6,4,10
"NNP GZC Car '1PURPLE', Person 'A'",3,1,4
"NNP GZC Car '1PURPLE', Person 'B'",2,2,4
"NNP GZC Car '1PURPLE', Person 'C'",4,1,5
"NNP GZC Car '1PURPLE', Person 'D'",18,4,22
"NNP GZC Car '1RED', Person 'A'",1,2,3
"NNP GZC Car '1RED', Person 'B'",10,10,20
"NNP GZC Car '1WHITE', Person 'A'",44,3,47
"NNP GZC Car '1WHITE', Person 'B'",9,8,17
"NNP GZC Car '1WHITE', Person 'C'",15,8,23
"NNP GZC Car '2RED', Person 'A'",12,0,12
"NNP GZC Car '2RED', Person 'B'",3,0,3
"NNP GZC Car '2RED', Person 'C'",7,0,7
"NNP GZC Car '2RED', Person 'D'",11,0,11
"NNP GZC Car '3PURPLE', Person 'A'",1,1,2
"NNP GZC Car '3PURPLE', Person 'B'",4,3,7
"NNP GZC Car '3RED', Person 'A'",3,3,6
"NNP GZC Car '3RED', Person 'B'",4,2,6
"NNP GZC Car '3WHITE', Person 'A'",35,7,42
"NNP GZC Car '4RED', Person 'A'",0,1,1
"NNP GZC Car '4WHITE', Person 'A'",3,0,3
"NNP GZC Car '5WHITE', Person 'A'",3,11,14
"NNP GZC Car '6RED', Person 'A'",1,0,1
"NNP GZC Car '6RED', Person 'B'",5,2,7
"NNP GZC Car '6WHITE', Person 'B'",19,8,27
"NNP GZC Car '7WHITE', Person 'A'",1,2,3
"NNP GZC Car '7WHITE', Person 'B'",5,2,7
"NNP GZC Car '8WHITE', Person 'A'",15,13,28
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",101,44,145
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2,1,3
