CONTRIBUTOR,front,back,left,right,frontleft,frontright,backleft,backright
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1,0,22,10,1,0,3,1
"NNP GZC Car '10WHITE', Person 'A'",0,0,3,0,0,0,0,0
"NNP GZC Car '11WHITE', Person 'A'",0,0,17,0,3,0,0,0
"NNP GZC Car '12WHITE', Person 'A'",0,0,3,0,0,0,0,0
"NNP GZC Car '13WHITE', Person 'A'",0,0,10,0,0,0,0,0
"NNP GZC Car '13WHITE', Person 'B'",0,0,13,0,1,0,0,0
"NNP GZC Car '15WHITE', Person 'A'",0,0,14,1,3,0,0,0
"NNP GZC Car '15WHITE', Person 'B'",0,0,7,0,0,0,0,0
"NNP GZC Car '15WHITE', Person 'C'",0,0,2,0,0,0,0,0
"NNP GZC Car '15WHITE', Person 'D'",0,0,12,0,0,0,0,0
"NNP GZC Car '16WHITE', Person 'A'",0,0,4,0,1,0,0,0
"NNP GZC Car '17WHITE', Person 'C'",0,0,1,0,0,0,0,0
"NNP GZC Car '1BLUE', Person 'A'",0,0,5,0,1,0,0,0
"NNP GZC Car '1BLUE', Person 'B'",0,0,6,0,3,0,1,0
"NNP GZC Car '1BLUE', Person 'C'",0,0,7,0,2,0,1,0
"NNP GZC Car '1PURPLE', Person 'A'",0,0,3,0,0,0,1,0
"NNP GZC Car '1PURPLE', Person 'B'",0,0,4,0,0,0,0,0
"NNP GZC Car '1PURPLE', Person 'C'",0,0,4,0,0,0,1,0
"NNP GZC Car '1PURPLE', Person 'D'",0,0,16,0,1,0,5,0
"NNP GZC Car '1RED', Person 'A'",0,0,3,0,0,0,0,0
"NNP GZC Car '1RED', Person 'B'",0,0,13,0,7,0,0,0
"NNP GZC Car '1WHITE', Person 'A'",0,0,13,22,5,2,2,3
"NNP GZC Car '1WHITE', Person 'B'",0,0,12,0,1,0,4,0
"NNP GZC Car '1WHITE', Person 'C'",0,4,9,5,2,0,2,1
"NNP GZC Car '2RED', Person 'A'",0,0,12,0,0,0,0,0
"NNP GZC Car '2RED', Person 'B'",0,0,3,0,0,0,0,0
"NNP GZC Car '2RED', Person 'C'",0,0,4,0,3,0,0,0
"NNP GZC Car '2RED', Person 'D'",0,0,9,0,2,0,0,0
"NNP GZC Car '3PURPLE', Person 'A'",0,0,2,0,0,0,0,0
"NNP GZC Car '3PURPLE', Person 'B'",0,0,6,0,1,0,0,0
"NNP GZC Car '3RED', Person 'A'",0,0,6,0,0,0,0,0
"NNP GZC Car '3RED', Person 'B'",0,0,5,0,1,0,0,0
"NNP GZC Car '3WHITE', Person 'A'",0,0,27,0,3,0,12,0
"NNP GZC Car '4RED', Person 'A'",0,0,0,0,1,0,0,0
"NNP GZC Car '4WHITE', Person 'A'",0,0,3,0,0,0,0,0
"NNP GZC Car '5WHITE', Person 'A'",0,0,11,0,1,0,2,0
"NNP GZC Car '6RED', Person 'A'",0,0,1,0,0,0,0,0
"NNP GZC Car '6RED', Person 'B'",0,0,5,0,2,0,0,0
"NNP GZC Car '6WHITE', Person 'B'",0,0,19,0,6,0,2,0
"NNP GZC Car '7WHITE', Person 'A'",0,0,2,0,1,0,0,0
"NNP GZC Car '7WHITE', Person 'B'",0,0,6,0,1,0,0,0
"NNP GZC Car '8WHITE', Person 'A'",0,0,24,0,1,0,3,0
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",6,9,64,32,12,2,13,7
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,0,2,0,1,0,0,0
