CONTRIBUTOR,zero,one
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",32,6
"NNP GZC Car '10WHITE', Person 'A'",3,0
"NNP GZC Car '11WHITE', Person 'A'",16,4
"NNP GZC Car '12WHITE', Person 'A'",3,0
"NNP GZC Car '13WHITE', Person 'A'",4,6
"NNP GZC Car '13WHITE', Person 'B'",11,3
"NNP GZC Car '15WHITE', Person 'A'",14,4
"NNP GZC Car '15WHITE', Person 'B'",7,0
"NNP GZC Car '15WHITE', Person 'C'",2,0
"NNP GZC Car '15WHITE', Person 'D'",11,1
"NNP GZC Car '16WHITE', Person 'A'",2,3
"NNP GZC Car '17WHITE', Person 'C'",1,0
"NNP GZC Car '1BLUE', Person 'A'",5,1
"NNP GZC Car '1BLUE', Person 'B'",7,3
"NNP GZC Car '1BLUE', Person 'C'",6,4
"NNP GZC Car '1PURPLE', Person 'A'",3,1
"NNP GZC Car '1PURPLE', Person 'B'",2,2
"NNP GZC Car '1PURPLE', Person 'C'",4,1
"NNP GZC Car '1PURPLE', Person 'D'",18,4
"NNP GZC Car '1RED', Person 'A'",1,2
"NNP GZC Car '1RED', Person 'B'",10,10
"NNP GZC Car '1WHITE', Person 'A'",44,3
"NNP GZC Car '1WHITE', Person 'B'",9,8
"NNP GZC Car '1WHITE', Person 'C'",15,8
"NNP GZC Car '2RED', Person 'A'",12,0
"NNP GZC Car '2RED', Person 'B'",3,0
"NNP GZC Car '2RED', Person 'C'",7,0
"NNP GZC Car '2RED', Person 'D'",11,0
"NNP GZC Car '3PURPLE', Person 'A'",1,1
"NNP GZC Car '3PURPLE', Person 'B'",4,3
"NNP GZC Car '3RED', Person 'A'",3,3
"NNP GZC Car '3RED', Person 'B'",4,2
"NNP GZC Car '3WHITE', Person 'A'",35,7
"NNP GZC Car '4RED', Person 'A'",0,1
"NNP GZC Car '4WHITE', Person 'A'",3,0
"NNP GZC Car '5WHITE', Person 'A'",3,11
"NNP GZC Car '6RED', Person 'A'",1,0
"NNP GZC Car '6RED', Person 'B'",5,2
"NNP GZC Car '6WHITE', Person 'B'",19,8
"NNP GZC Car '7WHITE', Person 'A'",1,2
"NNP GZC Car '7WHITE', Person 'B'",5,2
"NNP GZC Car '8WHITE', Person 'A'",15,13
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",101,44
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2,1
