CONTRIBUTOR,TOTAL
"NNP GZC Car '1PURPLE', Person 'C'",15
"NNP GZC Car '2RED', Person 'B'",64
"NNP GZC Car '2RED', Person 'A'",104
"NNP GZC Car '1BLUE', Person 'B'",25
"NNP GZC Car '1RED', Person 'A'",100
"NNP GZC Car '1BLUE', Person 'D'",13
"NNP GZC Car '17WHITE', Person 'A'",11
"NNP GZC Car '1BLUE', Person 'A'",14
"NNP GZC Car '5RED', Person 'C'",5
"NNP GZC Car '17WHITE', Person 'C'",14
"NNP GZC Car '6WHITE', Person 'B'",106
"NNP GZC Car '25PURPLE', Person 'A'",72
"NNP GZC Car '2RED', Person 'C'",82
"NNP GZC Car '12WHITE', Person 'A'",26
"NNP GZC Car '11WHITE', Person 'A'",103
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '15WHITE', Person 'C'",4
"NNP GZC Car '13WHITE', Person 'B'",48
"NNP GZC Car '4WHITE', Person 'A'",15
"NNP GZC Car '10WHITE', Person 'A'",13
"NNP GZC Car '7WHITE', Person 'B'",36
"NNP GZC Car '3WHITE', Person 'A'",73
"NNP GZC Car '3PURPLE', Person 'B'",28
"NNP GZC Car '6RED', Person 'A'",77
"NNP GZC Car '1RED', Person 'B'",183
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '1PURPLE', Person 'B'",261
"NNP GZC Car '1WHITE', Person 'B'",77
"NNP GZC Car '15WHITE', Person 'D'",15
"NNP GZC Car '14WHITE', Person 'A'",105
"NNP GZC Car '1WHITE', Person 'A'",44
"NNP GZC Car '1WHITE', Person 'C'",86
"NNP GZC Car '4RED', Person 'A'",28
"NNP GZC Car '15WHITE', Person 'A'",37
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '7WHITE', Person 'A'",46
"NNP GZC Car '2WHITE', Person 'A'",51
"NNP GZC Car '1PURPLE', Person 'D'",300
"NNP GZC Car '3RED', Person 'B'",53
"NNP GZC Car '8WHITE', Person 'A'",83
"NNP GZC Car '3PURPLE', Person 'A'",8
"NNP GZC Car '13WHITE', Person 'A'",11
"NNP GZC Car '9WHITE', Person 'A'",22
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",179
"NNP GZC Car '6RED', Person 'B'",144
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",207
"NNP GZC Car '3RED', Person 'A'",67
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",107
"NNP GZC Car '2RED', Person 'D'",30
"NNP GZC Car '5WHITE', Person 'A'",127
"NNP GZC Car '1PURPLE', Person 'A'",180
"NNP GZC Car '15WHITE', Person 'B'",1
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",853
"NNP GZC Car '1BLUE', Person 'C'",45
