NID,Count
668,9
667,9
585,8
1702,8
683,8
1384,7
1623,7
1694,7
1566,7
697,7
995,7
1028,7
1860,7
1875,7
278,7
1985,7
865,7
696,7
652,7
543,7
1148,7
681,7
1885,7
1158,7
770,6
1976,6
606,6
690,6
1697,6
896,6
868,6
1686,6
792,6
1175,6
2169,6
1561,6
1971,6
1563,6
1715,6
776,6
1121,6
1867,6
716,6
1523,6
691,6
1675,6
2165,5
575,5
1497,5
643,5
560,5
1269,5
871,5
1564,5
727,5
1554,5
628,5
1382,5
1591,5
1859,5
795,5
1552,5
648,5
535,5
1674,5
1551,5
1632,5
1514,5
1921,5
1540,5
487,5
1541,5
950,5
1495,5
1995,5
2166,5
674,5
883,5
1504,5
1659,5
1639,5
360,5
893,5
1526,5
717,5
1556,5
1507,5
1537,5
1857,5
953,5
791,5
1499,5
537,5
1660,5
1959,5
1498,5
1881,5
1856,5
1620,5
1157,5
680,5
365,5
340,5
355,5
1533,5
1868,5
1874,5
692,5
1508,5
1640,5
1503,4
1810,4
741,4
1515,4
2094,4
1177,4
876,4
1107,4
1910,4
1799,4
1785,4
1042,4
2182,4
1534,4
1548,4
607,4
1567,4
1887,4
1558,4
1521,4
1490,4
298,4
1151,4
839,4
1519,4
1506,4
1511,4
881,4
1863,4
297,4
1375,4
1720,4
1550,4
786,4
1624,4
1865,4
361,4
1871,4
1206,4
1883,4
1904,4
1535,4
1549,4
824,4
1492,4
1846,4
701,4
899,4
1876,4
1502,4
1527,4
504,4
781,4
1626,4
1528,4
1513,4
688,4
329,4
992,4
675,4
2044,4
1228,4
788,4
576,4
1638,4
405,4
1840,4
1547,4
1485,4
615,4
604,4
1012,4
1398,4
1559,4
844,4
1545,4
613,4
455,4
2014,4
1872,4
1721,4
1861,4
1815,4
649,4
1932,4
609,4
1539,4
624,4
793,4
1489,4
1210,4
718,4
650,4
1500,4
1717,4
860,4
442,4
1862,3
903,3
682,3
1553,3
471,3
479,3
821,3
1178,3
352,3
1689,3
1532,3
1435,3
356,3
1958,3
879,3
1560,3
622,3
1946,3
1893,3
1179,3
1512,3
353,3
1960,3
497,3
528,3
1880,3
959,3
987,3
1621,3
1510,3
542,3
1939,3
724,3
985,3
640,3
777,3
1524,3
1516,3
796,3
1376,3
1146,3
612,3
1128,3
1484,3
1493,3
1718,3
486,3
1027,3
891,3
897,3
2129,3
1505,3
1391,3
1494,3
677,3
1944,3
1625,3
1103,3
1699,3
507,3
1935,3
882,3
785,3
1991,3
1616,3
880,3
1546,3
1488,3
2181,3
489,3
1530,3
1698,3
780,3
1635,3
833,3
2177,3
2015,3
1882,3
1386,3
789,3
706,3
2178,3
341,3
726,3
892,3
354,3
300,3
398,3
890,3
769,3
1678,3
1509,3
1385,3
1612,3
768,3
1408,3
1681,3
533,3
801,3
1964,3
1802,3
564,3
1942,3
1555,3
290,3
1538,3
693,3
347,3
679,3
1043,3
1937,3
1804,3
376,3
1936,3
527,3
1676,3
1803,3
1501,3
1487,3
715,3
343,3
773,3
1562,3
1928,3
1496,3
2167,3
1998,3
465,3
790,3
362,3
285,3
1949,2
2121,2
1952,2
2103,2
1039,2
2054,2
2012,2
1378,2
2104,2
2036,2
546,2
1159,2
1645,2
655,2
772,2
1828,2
712,2
2102,2
1940,2
935,2
579,2
1381,2
493,2
1605,2
306,2
804,2
375,2
1801,2
2003,2
1450,2
2113,2
1877,2
835,2
855,2
1377,2
2009,2
1203,2
1217,2
1827,2
363,2
1394,2
485,2
1950,2
632,2
1174,2
305,2
1652,2
1065,2
812,2
1011,2
328,2
1306,2
390,2
333,2
552,2
1243,2
2021,2
310,2
1873,2
1606,2
1705,2
1446,2
483,2
1653,2
387,2
1657,2
687,2
1962,2
454,2
395,2
2017,2
2110,2
2018,2
1641,2
747,2
2168,2
358,2
386,2
2115,2
2040,2
2111,2
2024,2
1823,2
1990,2
1529,2
344,2
990,2
1054,2
478,2
404,2
1044,2
377,2
544,2
1955,2
1719,2
381,2
1956,2
1977,2
372,2
580,2
2100,2
1195,2
1137,2
2116,2
1034,2
1996,2
1832,2
484,2
2105,2
2034,2
2096,2
2095,2
966,2
2097,2
1948,2
1522,2
280,2
1520,2
934,2
1999,2
293,2
1947,2
2023,2
391,2
721,2
2112,2
2041,2
547,2
379,2
920,2
357,2
1925,2
1869,2
1041,2
1826,2
1150,2
999,2
1968,2
2128,2
380,2
2107,2
1283,2
1704,2
1735,2
1656,2
1278,2
282,2
330,2
1650,2
1879,2
984,2
2028,2
1837,2
1969,2
862,2
1568,2
1571,2
1486,2
2037,2
410,2
1383,2
659,2
1696,2
1229,2
1557,2
870,2
1979,2
1183,2
1972,2
2101,2
2005,2
2098,2
1525,2
457,2
1630,2
1866,2
1439,2
1677,2
2099,2
2106,2
1966,2
1978,2
1219,2
1818,2
317,2
1809,2
447,2
1957,2
1161,2
2109,2
1628,2
1716,2
348,2
1954,2
1214,2
289,2
2022,2
646,2
1542,2
684,2
1722,2
2051,2
1834,2
275,2
1025,2
2130,2
1168,2
1820,2
1764,2
783,2
2119,2
276,2
1173,2
393,2
1933,2
1701,2
2042,2
378,2
619,2
2033,2
1931,2
2030,2
338,2
1380,2
1961,2
1892,2
1631,2
2144,2
274,2
1982,2
1478,2
1604,2
1965,2
1491,2
336,2
2026,2
2114,2
2117,2
1688,2
374,2
709,2
