NID,Count_x,Count_y
1867,28,6
1875,24,7
1523,22,6
1697,22,6
1384,22,7
2165,21,5
696,21,7
1561,21,6
792,21,6
1548,20,4
1560,20,3
1554,20,5
1686,20,6
1976,20,6
667,19,9
1489,19,4
1501,19,3
1566,18,7
865,18,7
1148,18,7
606,18,6
1799,18,4
1556,18,5
355,17,5
1715,17,6
681,17,7
1549,17,4
274,17,2
1694,17,7
1546,17,3
1660,16,5
1720,16,4
683,16,8
1721,16,4
1541,16,5
2182,16,4
1567,16,4
1921,16,5
793,15,4
770,15,6
1533,15,5
1551,15,5
1535,15,4
340,15,5
668,15,9
278,15,7
717,15,5
871,15,5
1527,14,4
868,14,6
883,14,5
1971,14,6
1563,14,6
690,14,6
1985,14,7
380,14,2
1521,14,4
1540,14,5
1857,14,5
585,14,8
741,14,4
1028,14,7
1885,14,7
1559,14,4
791,14,5
1859,13,5
487,13,5
330,13,2
1539,13,4
995,13,7
455,13,4
1508,13,5
560,13,5
1499,13,5
478,13,2
360,13,5
1550,13,4
2014,13,4
788,13,4
537,13,5
1640,13,5
543,13,7
1555,13,3
624,12,4
338,12,2
1534,12,4
628,12,5
839,12,4
1528,12,4
352,12,3
1513,12,4
1876,12,4
1846,12,4
1655,12,1
1558,12,4
329,12,4
1856,12,5
1659,12,5
1488,12,3
1492,12,4
347,12,3
726,12,3
769,12,3
1375,11,4
1562,11,3
718,11,4
1121,11,6
544,11,2
1717,11,4
615,11,4
1882,11,3
1507,11,5
328,11,2
1504,11,5
1210,11,4
489,11,3
1639,11,5
1868,11,5
785,11,3
776,11,6
652,11,7
643,11,5
348,11,2
1552,11,5
1158,11,7
1497,11,5
768,11,3
1702,10,8
1860,10,7
1547,10,4
674,10,5
1537,10,5
789,10,3
2094,10,4
1485,10,4
860,10,4
649,10,4
824,10,4
1863,10,4
950,10,5
899,10,4
533,10,3
1151,10,4
1503,10,4
502,10,1
294,10,1
645,10,1
1498,10,5
1674,10,5
1623,10,7
727,10,5
1526,10,5
786,10,4
576,10,4
1865,10,4
