NID,Count
1867,28
1875,24
1523,22
1697,22
1384,22
2165,21
696,21
1561,21
792,21
1548,20
1560,20
1554,20
1686,20
1976,20
667,19
1489,19
1501,19
1566,18
865,18
1148,18
606,18
1799,18
1556,18
355,17
1715,17
681,17
1549,17
274,17
1694,17
1546,17
1660,16
1720,16
683,16
1721,16
1541,16
2182,16
1567,16
1921,16
793,15
770,15
1533,15
1551,15
1535,15
340,15
668,15
278,15
717,15
871,15
1527,14
868,14
883,14
1971,14
1563,14
690,14
1985,14
380,14
1521,14
1540,14
1857,14
585,14
741,14
1028,14
1885,14
1559,14
791,14
1859,13
487,13
330,13
1539,13
995,13
455,13
1508,13
560,13
1499,13
478,13
360,13
1550,13
2014,13
788,13
537,13
1640,13
543,13
1555,13
624,12
338,12
1534,12
628,12
839,12
1528,12
352,12
1513,12
1876,12
1846,12
1655,12
1558,12
329,12
1856,12
1659,12
1488,12
1492,12
347,12
726,12
769,12
1375,11
1562,11
718,11
1121,11
544,11
1717,11
615,11
1882,11
1507,11
328,11
1504,11
1210,11
489,11
1639,11
1868,11
785,11
776,11
652,11
643,11
348,11
1552,11
1158,11
1497,11
768,11
1702,10
1860,10
1547,10
674,10
1537,10
789,10
2094,10
1485,10
860,10
649,10
824,10
1863,10
950,10
899,10
533,10
1151,10
1503,10
502,10
294,10
645,10
1498,10
1674,10
1623,10
727,10
1526,10
786,10
576,10
1865,10
1502,10
896,10
1872,10
1638,10
1564,10
361,10
790,10
1718,10
1932,10
310,10
1382,9
1494,9
535,9
1519,9
716,9
992,9
1495,9
1514,9
377,9
796,9
1175,9
1910,9
457,9
803,9
675,9
795,9
1532,9
609,9
844,9
648,9
893,9
2169,9
471,9
1500,9
2166,9
1635,8
1515,8
341,8
891,8
650,8
493,8
1887,8
1651,8
697,8
299,8
1861,8
465,8
1869,8
1157,8
691,8
953,8
1881,8
485,8
492,8
1545,8
1675,8
298,8
504,7
777,7
333,7
1959,7
1995,7
282,7
2130,7
738,7
1177,7
378,7
724,7
620,7
670,7
607,7
881,7
1048,7
604,7
1626,7
1051,7
1042,7
1496,7
680,7
275,7
1893,7
622,7
1826,7
1487,7
575,7
521,7
1815,7
935,7
484,7
1880,7
460,7
1269,7
343,7
304,7
1591,7
781,7
344,7
316,7
322,7
1512,7
612,7
314,7
