CONTRIBUTOR,Female
"NNP GZC Car '10WHITE', Person 'A'",6
"NNP GZC Car '11WHITE', Person 'A'",69
"NNP GZC Car '12WHITE', Person 'A'",9
"NNP GZC Car '13WHITE', Person 'A'",5
"NNP GZC Car '13WHITE', Person 'B'",19
"NNP GZC Car '14WHITE', Person 'A'",64
"NNP GZC Car '15WHITE', Person 'A'",23
"NNP GZC Car '15WHITE', Person 'B'",1
"NNP GZC Car '15WHITE', Person 'C'",2
"NNP GZC Car '15WHITE', Person 'D'",6
"NNP GZC Car '17WHITE', Person 'A'",4
"NNP GZC Car '17WHITE', Person 'C'",5
"NNP GZC Car '1BLUE', Person 'A'",13
"NNP GZC Car '1BLUE', Person 'B'",36
"NNP GZC Car '1BLUE', Person 'C'",35
"NNP GZC Car '1BLUE', Person 'D'",5
"NNP GZC Car '1PURPLE', Person 'A'",187
"NNP GZC Car '1PURPLE', Person 'B'",259
"NNP GZC Car '1PURPLE', Person 'C'",4
"NNP GZC Car '1PURPLE', Person 'D'",274
"NNP GZC Car '1RED', Person 'A'",74
"NNP GZC Car '1RED', Person 'B'",143
"NNP GZC Car '1WHITE', Person 'A'",22
"NNP GZC Car '1WHITE', Person 'B'",40
"NNP GZC Car '1WHITE', Person 'C'",27
"NNP GZC Car '25PURPLE', Person 'A'",38
"NNP GZC Car '2RED', Person 'A'",63
"NNP GZC Car '2RED', Person 'B'",54
"NNP GZC Car '2RED', Person 'C'",39
"NNP GZC Car '2RED', Person 'D'",27
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",25
"NNP GZC Car '3PURPLE', Person 'A'",4
"NNP GZC Car '3PURPLE', Person 'B'",16
"NNP GZC Car '3RED', Person 'A'",24
"NNP GZC Car '3RED', Person 'B'",34
"NNP GZC Car '3WHITE', Person 'A'",42
"NNP GZC Car '4RED', Person 'A'",23
"NNP GZC Car '4RED', Person 'B'",3
"NNP GZC Car '4WHITE', Person 'A'",6
"NNP GZC Car '5RED', Person 'A'",0
"NNP GZC Car '5RED', Person 'C'",3
"NNP GZC Car '5WHITE', Person 'A'",56
"NNP GZC Car '6RED', Person 'A'",45
"NNP GZC Car '6RED', Person 'B'",76
"NNP GZC Car '6WHITE', Person 'B'",70
"NNP GZC Car '7WHITE', Person 'A'",16
"NNP GZC Car '7WHITE', Person 'B'",16
"NNP GZC Car '8WHITE', Person 'A'",71
"NNP GZC Car '9WHITE', Person 'A'",13
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",503
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",171
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",178
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",52
