CONTRIBUTOR,one
"NNP GZC Car '10WHITE', Person 'A'",8
"NNP GZC Car '11WHITE', Person 'A'",49
"NNP GZC Car '12WHITE', Person 'A'",23
"NNP GZC Car '13WHITE', Person 'A'",4
"NNP GZC Car '13WHITE', Person 'B'",33
"NNP GZC Car '14WHITE', Person 'A'",38
"NNP GZC Car '15WHITE', Person 'A'",5
"NNP GZC Car '15WHITE', Person 'B'",0
"NNP GZC Car '15WHITE', Person 'C'",0
"NNP GZC Car '15WHITE', Person 'D'",0
"NNP GZC Car '17WHITE', Person 'A'",7
"NNP GZC Car '17WHITE', Person 'C'",3
"NNP GZC Car '1BLUE', Person 'A'",13
"NNP GZC Car '1BLUE', Person 'B'",24
"NNP GZC Car '1BLUE', Person 'C'",24
"NNP GZC Car '1BLUE', Person 'D'",10
"NNP GZC Car '1PURPLE', Person 'A'",59
"NNP GZC Car '1PURPLE', Person 'B'",95
"NNP GZC Car '1PURPLE', Person 'C'",1
"NNP GZC Car '1PURPLE', Person 'D'",109
"NNP GZC Car '1RED', Person 'A'",49
"NNP GZC Car '1RED', Person 'B'",92
"NNP GZC Car '1WHITE', Person 'A'",21
"NNP GZC Car '1WHITE', Person 'B'",32
"NNP GZC Car '1WHITE', Person 'C'",45
"NNP GZC Car '25PURPLE', Person 'A'",35
"NNP GZC Car '2RED', Person 'A'",47
"NNP GZC Car '2RED', Person 'B'",25
"NNP GZC Car '2RED', Person 'C'",40
"NNP GZC Car '2RED', Person 'D'",7
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",12
"NNP GZC Car '3PURPLE', Person 'A'",1
"NNP GZC Car '3PURPLE', Person 'B'",11
"NNP GZC Car '3RED', Person 'A'",56
"NNP GZC Car '3RED', Person 'B'",42
"NNP GZC Car '3WHITE', Person 'A'",29
"NNP GZC Car '4RED', Person 'A'",16
"NNP GZC Car '4RED', Person 'B'",0
"NNP GZC Car '4WHITE', Person 'A'",12
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '5RED', Person 'C'",5
"NNP GZC Car '5WHITE', Person 'A'",68
"NNP GZC Car '6RED', Person 'A'",52
"NNP GZC Car '6RED', Person 'B'",97
"NNP GZC Car '6WHITE', Person 'B'",55
"NNP GZC Car '7WHITE', Person 'A'",18
"NNP GZC Car '7WHITE', Person 'B'",16
"NNP GZC Car '8WHITE', Person 'A'",30
"NNP GZC Car '9WHITE', Person 'A'",1
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",330
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",97
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",106
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",54
