CONTRIBUTOR,zero
"NNP GZC Car '10WHITE', Person 'A'",5
"NNP GZC Car '11WHITE', Person 'A'",70
"NNP GZC Car '12WHITE', Person 'A'",5
"NNP GZC Car '13WHITE', Person 'A'",9
"NNP GZC Car '13WHITE', Person 'B'",18
"NNP GZC Car '14WHITE', Person 'A'",72
"NNP GZC Car '15WHITE', Person 'A'",48
"NNP GZC Car '15WHITE', Person 'B'",2
"NNP GZC Car '15WHITE', Person 'C'",4
"NNP GZC Car '15WHITE', Person 'D'",18
"NNP GZC Car '17WHITE', Person 'A'",5
"NNP GZC Car '17WHITE', Person 'C'",11
"NNP GZC Car '1BLUE', Person 'A'",12
"NNP GZC Car '1BLUE', Person 'B'",44
"NNP GZC Car '1BLUE', Person 'C'",50
"NNP GZC Car '1BLUE', Person 'D'",4
"NNP GZC Car '1PURPLE', Person 'A'",295
"NNP GZC Car '1PURPLE', Person 'B'",331
"NNP GZC Car '1PURPLE', Person 'C'",21
"NNP GZC Car '1PURPLE', Person 'D'",384
"NNP GZC Car '1RED', Person 'A'",63
"NNP GZC Car '1RED', Person 'B'",156
"NNP GZC Car '1WHITE', Person 'A'",37
"NNP GZC Car '1WHITE', Person 'B'",64
"NNP GZC Car '1WHITE', Person 'C'",56
"NNP GZC Car '25PURPLE', Person 'A'",95
"NNP GZC Car '2RED', Person 'A'",68
"NNP GZC Car '2RED', Person 'B'",82
"NNP GZC Car '2RED', Person 'C'",71
"NNP GZC Car '2RED', Person 'D'",39
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '2WHITE', Person 'A'",53
"NNP GZC Car '3PURPLE', Person 'A'",8
"NNP GZC Car '3PURPLE', Person 'B'",25
"NNP GZC Car '3RED', Person 'A'",16
"NNP GZC Car '3RED', Person 'B'",23
"NNP GZC Car '3WHITE', Person 'A'",69
"NNP GZC Car '4RED', Person 'A'",15
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '4WHITE', Person 'A'",8
"NNP GZC Car '5RED', Person 'A'",0
"NNP GZC Car '5RED', Person 'C'",2
"NNP GZC Car '5WHITE', Person 'A'",69
"NNP GZC Car '6RED', Person 'A'",42
"NNP GZC Car '6RED', Person 'B'",62
"NNP GZC Car '6WHITE', Person 'B'",122
"NNP GZC Car '7WHITE', Person 'A'",28
"NNP GZC Car '7WHITE', Person 'B'",21
"NNP GZC Car '8WHITE', Person 'A'",114
"NNP GZC Car '9WHITE', Person 'A'",26
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",834
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",268
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",249
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",80
