CONTRIBUTOR,Male,Female,UNKNOWN SEX,Sum
"NNP GZC Car '10WHITE', Person 'A'",5,6,2,13
"NNP GZC Car '11WHITE', Person 'A'",34,69,16,119
"NNP GZC Car '12WHITE', Person 'A'",7,9,12,28
"NNP GZC Car '13WHITE', Person 'A'",5,5,3,13
"NNP GZC Car '13WHITE', Person 'B'",23,19,9,51
"NNP GZC Car '14WHITE', Person 'A'",35,64,11,110
"NNP GZC Car '15WHITE', Person 'A'",22,23,8,53
"NNP GZC Car '15WHITE', Person 'B'",1,1,0,2
"NNP GZC Car '15WHITE', Person 'C'",0,2,2,4
"NNP GZC Car '15WHITE', Person 'D'",6,6,6,18
"NNP GZC Car '17WHITE', Person 'A'",6,4,2,12
"NNP GZC Car '17WHITE', Person 'C'",8,5,1,14
"NNP GZC Car '1BLUE', Person 'A'",8,13,4,25
"NNP GZC Car '1BLUE', Person 'B'",19,36,13,68
"NNP GZC Car '1BLUE', Person 'C'",20,35,19,74
"NNP GZC Car '1BLUE', Person 'D'",4,5,5,14
"NNP GZC Car '1PURPLE', Person 'A'",145,187,22,354
"NNP GZC Car '1PURPLE', Person 'B'",148,259,19,426
"NNP GZC Car '1PURPLE', Person 'C'",15,4,3,22
"NNP GZC Car '1PURPLE', Person 'D'",195,274,24,493
"NNP GZC Car '1RED', Person 'A'",23,74,15,112
"NNP GZC Car '1RED', Person 'B'",74,143,31,248
"NNP GZC Car '1WHITE', Person 'A'",17,22,19,58
"NNP GZC Car '1WHITE', Person 'B'",23,40,33,96
"NNP GZC Car '1WHITE', Person 'C'",45,27,29,101
"NNP GZC Car '25PURPLE', Person 'A'",28,38,64,130
"NNP GZC Car '2RED', Person 'A'",37,63,15,115
"NNP GZC Car '2RED', Person 'B'",43,54,10,107
"NNP GZC Car '2RED', Person 'C'",52,39,20,111
"NNP GZC Car '2RED', Person 'D'",18,27,1,46
"NNP GZC Car '2RED', Person 'E'",1,0,0,1
"NNP GZC Car '2WHITE', Person 'A'",11,25,29,65
"NNP GZC Car '3PURPLE', Person 'A'",2,4,3,9
"NNP GZC Car '3PURPLE', Person 'B'",8,16,12,36
"NNP GZC Car '3RED', Person 'A'",24,24,24,72
"NNP GZC Car '3RED', Person 'B'",19,34,12,65
"NNP GZC Car '3WHITE', Person 'A'",33,42,23,98
"NNP GZC Car '4RED', Person 'A'",2,23,6,31
"NNP GZC Car '4RED', Person 'B'",0,3,1,4
"NNP GZC Car '4WHITE', Person 'A'",5,6,9,20
"NNP GZC Car '5RED', Person 'A'",1,0,1,2
"NNP GZC Car '5RED', Person 'C'",2,3,2,7
"NNP GZC Car '5WHITE', Person 'A'",27,56,54,137
"NNP GZC Car '6RED', Person 'A'",24,45,25,94
"NNP GZC Car '6RED', Person 'B'",37,76,46,159
"NNP GZC Car '6WHITE', Person 'B'",33,70,74,177
"NNP GZC Car '7WHITE', Person 'A'",23,16,7,46
"NNP GZC Car '7WHITE', Person 'B'",16,16,5,37
"NNP GZC Car '8WHITE', Person 'A'",48,71,25,144
"NNP GZC Car '9WHITE', Person 'A'",0,13,14,27
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",376,503,285,1164
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",109,171,85,365
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",124,178,53,355
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",26,52,56,134
