CONTRIBUTOR,front,back,left,right,frontleft,frontright,backleft,backright
"NNP GZC Car '10WHITE', Person 'A'",0,0,10,0,3,0,0,0
"NNP GZC Car '11WHITE', Person 'A'",0,0,117,0,2,0,0,0
"NNP GZC Car '12WHITE', Person 'A'",0,0,24,0,3,0,1,0
"NNP GZC Car '13WHITE', Person 'A'",0,0,10,0,3,0,0,0
"NNP GZC Car '13WHITE', Person 'B'",0,0,45,0,6,0,0,0
"NNP GZC Car '14WHITE', Person 'A'",0,0,100,7,2,1,0,0
"NNP GZC Car '15WHITE', Person 'A'",0,4,9,12,1,0,25,2
"NNP GZC Car '15WHITE', Person 'B'",0,0,0,2,0,0,0,0
"NNP GZC Car '15WHITE', Person 'C'",0,0,2,2,0,0,0,0
"NNP GZC Car '15WHITE', Person 'D'",0,0,7,9,1,0,0,1
"NNP GZC Car '17WHITE', Person 'A'",0,0,11,0,1,0,0,0
"NNP GZC Car '17WHITE', Person 'C'",0,0,11,0,3,0,0,0
"NNP GZC Car '1BLUE', Person 'A'",0,0,18,0,5,0,2,0
"NNP GZC Car '1BLUE', Person 'B'",0,0,47,0,7,0,14,0
"NNP GZC Car '1BLUE', Person 'C'",0,0,56,0,9,0,9,0
"NNP GZC Car '1BLUE', Person 'D'",0,0,13,0,0,0,1,0
"NNP GZC Car '1PURPLE', Person 'A'",2,1,307,12,17,1,14,0
"NNP GZC Car '1PURPLE', Person 'B'",3,0,371,4,19,3,25,1
"NNP GZC Car '1PURPLE', Person 'C'",0,0,16,1,2,0,2,1
"NNP GZC Car '1PURPLE', Person 'D'",5,0,435,5,29,1,18,0
"NNP GZC Car '1RED', Person 'A'",0,0,107,0,5,0,0,0
"NNP GZC Car '1RED', Person 'B'",0,0,238,0,9,0,1,0
"NNP GZC Car '1WHITE', Person 'A'",0,0,48,3,3,1,3,0
"NNP GZC Car '1WHITE', Person 'B'",0,0,72,5,9,1,8,1
"NNP GZC Car '1WHITE', Person 'C'",0,0,64,16,3,4,10,4
"NNP GZC Car '25PURPLE', Person 'A'",7,1,46,25,28,10,11,2
"NNP GZC Car '2RED', Person 'A'",0,1,111,0,3,0,0,0
"NNP GZC Car '2RED', Person 'B'",0,0,97,0,10,0,0,0
"NNP GZC Car '2RED', Person 'C'",0,0,105,0,6,0,0,0
"NNP GZC Car '2RED', Person 'D'",0,0,41,0,5,0,0,0
"NNP GZC Car '2RED', Person 'E'",0,0,1,0,0,0,0,0
"NNP GZC Car '2WHITE', Person 'A'",0,0,46,1,2,1,15,0
"NNP GZC Car '3PURPLE', Person 'A'",0,0,3,1,1,1,3,0
"NNP GZC Car '3PURPLE', Person 'B'",0,0,15,5,6,1,9,0
"NNP GZC Car '3RED', Person 'A'",0,0,70,0,2,0,0,0
"NNP GZC Car '3RED', Person 'B'",0,0,64,0,1,0,0,0
"NNP GZC Car '3WHITE', Person 'A'",0,0,68,0,12,0,18,0
"NNP GZC Car '4RED', Person 'A'",0,0,30,0,1,0,0,0
"NNP GZC Car '4RED', Person 'B'",0,0,3,0,1,0,0,0
"NNP GZC Car '4WHITE', Person 'A'",0,1,12,2,1,1,3,0
"NNP GZC Car '5RED', Person 'A'",0,0,2,0,0,0,0,0
"NNP GZC Car '5RED', Person 'C'",0,0,4,0,3,0,0,0
"NNP GZC Car '5WHITE', Person 'A'",1,0,117,0,7,0,12,0
"NNP GZC Car '6RED', Person 'A'",0,0,87,0,7,0,0,0
"NNP GZC Car '6RED', Person 'B'",0,0,146,0,13,0,0,0
"NNP GZC Car '6WHITE', Person 'B'",4,11,97,26,2,1,30,6
"NNP GZC Car '7WHITE', Person 'A'",0,0,41,0,5,0,0,0
"NNP GZC Car '7WHITE', Person 'B'",0,0,32,0,5,0,0,0
"NNP GZC Car '8WHITE', Person 'A'",0,0,103,0,8,0,33,0
"NNP GZC Car '9WHITE', Person 'A'",0,0,6,16,0,2,1,2
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",14,3,945,20,103,7,68,4
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4,22,268,5,20,5,40,1
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1,17,249,29,15,1,39,4
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",0,2,115,0,1,0,16,0
