AID,GID,NID,CONTRIBUTOR
12735,3363,1190,"NNP GZC Car '1WHITE', Person 'C'"
15708,6074,2143,"NNP GZC Car '5RED', Person 'C'"
10638,8089,363,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
14271,1512,844,"NNP GZC Car '1PURPLE', Person 'A'"
11813,9021,740,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12947,5334,1720,"NNP GZC Car '3WHITE', Person 'A'"
11265,8607,737,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12772,1241,1384,"NNP GZC Car '1BLUE', Person 'A'"
10785,8180,369,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
12284,1306,696,"NNP GZC Car '1BLUE', Person 'B'"
11333,8671,747,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14963,2351,1521,"NNP GZC Car '1PURPLE', Person 'D'"
16982,2683,1810,"NNP GZC Car '1RED', Person 'A'"
14983,2053,1507,"NNP GZC Car '1PURPLE', Person 'C'"
15839,1897,1550,"NNP GZC Car '1PURPLE', Person 'B'"
12100,9233,988,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
17767,6767,2013,"NNP GZC Car '6RED', Person 'B'"
17479,6766,1243,"NNP GZC Car '6RED', Person 'B'"
15128,2337,680,"NNP GZC Car '1PURPLE', Person 'D'"
14152,782,1556,"NNP GZC Car '14WHITE', Person 'A'"
14397,1742,640,"NNP GZC Car '1PURPLE', Person 'B'"
15747,3705,1874,"NNP GZC Car '2RED', Person 'A'"
17959,4238,1863,"NNP GZC Car '2RED', Person 'B'"
17199,2957,1675,"NNP GZC Car '1RED', Person 'B'"
15304,2396,1625,"NNP GZC Car '1PURPLE', Person 'D'"
16372,7442,1533,"NNP GZC Car '8WHITE', Person 'A'"
12215,3502,328,"NNP GZC Car '25PURPLE', Person 'A'"
13092,6831,1277,"NNP GZC Car '6WHITE', Person 'B'"
14709,2057,1545,"NNP GZC Car '1PURPLE', Person 'C'"
17160,2636,1947,"NNP GZC Car '1RED', Person 'A'"
