CONTRIBUTOR,Female
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",13
"NNP GZC Car '10WHITE', Person 'A'",9
"NNP GZC Car '11WHITE', Person 'A'",89
"NNP GZC Car '12WHITE', Person 'A'",11
"NNP GZC Car '13WHITE', Person 'A'",10
"NNP GZC Car '13WHITE', Person 'B'",25
"NNP GZC Car '14WHITE', Person 'A'",64
"NNP GZC Car '15WHITE', Person 'A'",32
"NNP GZC Car '15WHITE', Person 'B'",8
"NNP GZC Car '15WHITE', Person 'C'",2
"NNP GZC Car '15WHITE', Person 'D'",11
"NNP GZC Car '16WHITE', Person 'A'",0
"NNP GZC Car '17WHITE', Person 'A'",4
"NNP GZC Car '17WHITE', Person 'C'",6
"NNP GZC Car '1BLUE', Person 'A'",17
"NNP GZC Car '1BLUE', Person 'B'",41
"NNP GZC Car '1BLUE', Person 'C'",39
"NNP GZC Car '1BLUE', Person 'D'",5
"NNP GZC Car '1PURPLE', Person 'A'",187
"NNP GZC Car '1PURPLE', Person 'B'",260
"NNP GZC Car '1PURPLE', Person 'C'",5
"NNP GZC Car '1PURPLE', Person 'D'",287
"NNP GZC Car '1RED', Person 'A'",76
"NNP GZC Car '1RED', Person 'B'",158
"NNP GZC Car '1WHITE', Person 'A'",53
"NNP GZC Car '1WHITE', Person 'B'",53
"NNP GZC Car '1WHITE', Person 'C'",35
"NNP GZC Car '25PURPLE', Person 'A'",38
"NNP GZC Car '2RED', Person 'A'",63
"NNP GZC Car '2RED', Person 'B'",54
"NNP GZC Car '2RED', Person 'C'",39
"NNP GZC Car '2RED', Person 'D'",27
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",25
"NNP GZC Car '3PURPLE', Person 'A'",4
"NNP GZC Car '3PURPLE', Person 'B'",16
"NNP GZC Car '3RED', Person 'A'",26
"NNP GZC Car '3RED', Person 'B'",38
"NNP GZC Car '3WHITE', Person 'A'",57
"NNP GZC Car '4RED', Person 'A'",23
"NNP GZC Car '4RED', Person 'B'",3
"NNP GZC Car '4WHITE', Person 'A'",9
"NNP GZC Car '5RED', Person 'A'",0
"NNP GZC Car '5RED', Person 'C'",3
"NNP GZC Car '5WHITE', Person 'A'",62
"NNP GZC Car '6RED', Person 'A'",46
"NNP GZC Car '6RED', Person 'B'",77
"NNP GZC Car '6WHITE', Person 'B'",87
"NNP GZC Car '7WHITE', Person 'A'",19
"NNP GZC Car '7WHITE', Person 'B'",21
"NNP GZC Car '8WHITE', Person 'A'",80
"NNP GZC Car '9WHITE', Person 'A'",13
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",554
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",174
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",178
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",52
