CONTRIBUTOR,image_contributor_tag
"NNP GZC Car '1PURPLE', Person 'D'",515
"NNP GZC Car '3RED', Person 'A'",78
"NNP GZC Car '10WHITE', Person 'A'",16
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",368
"NNP GZC Car '2RED', Person 'A'",127
"NNP GZC Car '3PURPLE', Person 'B'",43
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1309
"NNP GZC Car '1WHITE', Person 'A'",105
"NNP GZC Car '1BLUE', Person 'D'",14
"NNP GZC Car '17WHITE', Person 'C'",15
"NNP GZC Car '15WHITE', Person 'B'",9
"NNP GZC Car '1RED', Person 'B'",268
"NNP GZC Car '1PURPLE', Person 'B'",430
"NNP GZC Car '2RED', Person 'C'",118
"NNP GZC Car '9WHITE', Person 'A'",27
"NNP GZC Car '5WHITE', Person 'A'",151
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",38
"NNP GZC Car '2RED', Person 'D'",57
"NNP GZC Car '3PURPLE', Person 'A'",11
"NNP GZC Car '4WHITE', Person 'A'",23
"NNP GZC Car '1RED', Person 'A'",115
"NNP GZC Car '6WHITE', Person 'B'",204
"NNP GZC Car '14WHITE', Person 'A'",110
"NNP GZC Car '8WHITE', Person 'A'",172
"NNP GZC Car '4RED', Person 'A'",32
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '1PURPLE', Person 'C'",27
"NNP GZC Car '15WHITE', Person 'A'",71
"NNP GZC Car '3RED', Person 'B'",71
"NNP GZC Car '1PURPLE', Person 'A'",358
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '1BLUE', Person 'B'",78
"NNP GZC Car '17WHITE', Person 'A'",12
"NNP GZC Car '6RED', Person 'A'",95
"NNP GZC Car '25PURPLE', Person 'A'",130
"NNP GZC Car '13WHITE', Person 'A'",23
"NNP GZC Car '5RED', Person 'C'",7
"NNP GZC Car '15WHITE', Person 'D'",30
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",134
"NNP GZC Car '1BLUE', Person 'C'",84
"NNP GZC Car '11WHITE', Person 'A'",139
"NNP GZC Car '13WHITE', Person 'B'",65
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '12WHITE', Person 'A'",31
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",355
"NNP GZC Car '15WHITE', Person 'C'",6
"NNP GZC Car '7WHITE', Person 'B'",44
"NNP GZC Car '3WHITE', Person 'A'",140
"NNP GZC Car '6RED', Person 'B'",166
"NNP GZC Car '2WHITE', Person 'A'",65
"NNP GZC Car '7WHITE', Person 'A'",49
"NNP GZC Car '1WHITE', Person 'B'",113
"NNP GZC Car '1BLUE', Person 'A'",31
"NNP GZC Car '1WHITE', Person 'C'",124
"NNP GZC Car '16WHITE', Person 'A'",5
"NNP GZC Car '2RED', Person 'B'",110
